goth_name,age,email,country,favorite_band,favorite_color,tattoos,piercings,dark_rituals,dark_poetry
Eal Swafield,82,eswafieldh@icq.com,Brazil,Joy Division,red,true,false,true,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Ardenia O'Caherny,76,aocahernyi@virginia.edu,Brazil,Joy Division,red,true,false,true,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
Bret Jellis,98,bjellisj@liveinternet.ru,Cameroon,Sisters of Mercy,silver,true,true,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
Gay Euler,55,geulerk@sogou.com,Indonesia,The Cure,purple,true,true,false,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Ainslie Alvar,99,aalvarl@360.cn,Afghanistan,Joy Division,black,true,true,true,In congue. Etiam justo. Etiam pretium iaculis justo.
Melanie Easey,97,measeym@sohu.com,Mexico,Siouxsie and the Banshees,black,false,true,false,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Danny Dyson,58,ddysonn@meetup.com,Portugal,Siouxsie and the Banshees,black,true,false,false,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
Pierre Carluccio,31,pcarluccioo@gov.uk,Nepal,Siouxsie and the Banshees,black,false,true,false,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
Alanna Coult,68,acoultp@deliciousdays.com,Luxembourg,Sisters of Mercy,purple,false,true,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
Grace Bartosek,58,gbartosekq@redcross.org,China,Joy Division,red,false,false,true,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
Riobard Every,26,reveryr@cargocollective.com,Costa Rica,Joy Division,purple,true,false,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
Velvet Brockley,93,vbrockleys@artisteer.com,Peru,Siouxsie and the Banshees,purple,false,false,true,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
Lazar Joannet,92,ljoannett@yandex.ru,Morocco,The Cure,black,true,true,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Vasili Puddifer,39,vpuddiferu@cornell.edu,Vietnam,Sisters of Mercy,purple,true,false,true,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
Christophe Herkess,58,cherkessv@wiley.com,Greece,Sisters of Mercy,purple,true,true,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Queenie Darrigoe,84,qdarrigoew@360.cn,Poland,Siouxsie and the Banshees,silver,true,false,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
Quincey Muckloe,62,qmuckloex@merriam-webster.com,France,Bauhaus,purple,true,true,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
Emera Mitchener,58,emitchenery@nhs.uk,Egypt,Bauhaus,red,true,false,false,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
Josefina Fishe,32,jfishez@drupal.org,Poland,Sisters of Mercy,silver,true,true,true,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Peggie Sargint,23,psargint10@senate.gov,China,Siouxsie and the Banshees,purple,false,false,false,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Dennison Betteson,24,dbetteson11@domainmarket.com,Indonesia,Siouxsie and the Banshees,silver,true,false,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat."
Maynord Pawley,35,mpawley12@usa.gov,Colombia,Sisters of Mercy,black,false,false,false,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Dun Andreia,45,dandreia13@nymag.com,Indonesia,Bauhaus,silver,false,false,true,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
Miguela Buddington,41,mbuddington14@npr.org,Senegal,Sisters of Mercy,purple,true,false,true,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
Adora Baswall,79,abaswall15@nba.com,Saudi Arabia,Bauhaus,purple,false,true,true,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
Chaunce Rainforth,63,crainforth16@pbs.org,China,Joy Division,silver,false,false,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
Norene Ruddiforth,86,nruddiforth17@samsung.com,Russia,The Cure,silver,true,false,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
Peta Paprotny,33,ppaprotny18@ebay.co.uk,Pakistan,Bauhaus,black,true,true,true,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Durant Sallery,43,dsallery19@quantcast.com,China,Siouxsie and the Banshees,purple,true,true,false,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Sibelle Accomb,78,saccomb1a@imgur.com,China,Bauhaus,silver,true,true,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Maryann Grunguer,40,mgrunguer1b@smh.com.au,Russia,Joy Division,silver,true,true,true,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
Marj Carnegy,72,mcarnegy1c@vimeo.com,China,Joy Division,black,false,false,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
Prudy Lantaph,57,plantaph1d@wordpress.com,Indonesia,Joy Division,black,false,true,true,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo."
